disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
1071,Closed,2005-03-10T05:00:00.000Z,2756605,2834575,150940,0,2540914,24881,38956,78884,4396bc05dabdfc2bbb8d0ad1136a9264,2019-10-10T19:40:44.917Z
1337,Closed,2003-10-08T04:00:00.000Z,950900,782081,0,0,770958,0,0,11123,2eaa780c87b5861e520e14c592172233,2019-10-10T19:40:44.960Z
1070,Closed,2007-03-13T04:00:00.000Z,6732557,6427682,384301,0,5790272,51516,67799,133794,07762cc57885ec7946645927c443270b,2019-10-10T19:40:44.915Z
1506,Closed,2015-09-03T04:00:00.000Z,2192856,1791043,0,0,1694475,93086,3482,0,4848770612baadc8903bbc7de6d6d367,2019-10-10T19:40:45.043Z
1167,Closed,2007-07-03T04:00:00.000Z,1375224,1354321,0,0,1167359,128532,24300,34130,bdd4f2254036faef399de5fa2cc917c6,2019-10-10T19:40:44.954Z
1863,Closed,2018-09-28T04:00:00.000Z,895384,631452.15,0,0,594535,36917.15,0,0,c28098d145f0c4f1d2b22dc283746f3e,2019-10-10T19:40:44.963Z
1211,Closed,2004-01-20T05:00:00.000Z,437358,413384,4100,0,390572,0,8189,10523,cd8d864d281a5ccbd3ebba7c10a015b2,2019-10-10T19:40:44.997Z
932,Open,,292500,205303,0,0,191632,0,5006,8665,26951899e779a019ec958ca73c573b83,2019-10-10T19:40:44.940Z
1613,Closed,2010-08-25T04:00:00.000Z,954811,622180,0,0,587129,0,13180,21871,819cdeed99a86a3dd0bee068b22ad795,2019-10-10T19:40:44.941Z
931,Open,,863755,0,0,0,0,0,0,0,bbb2a26e0c06c2d3c1eeb53f88acd329,2019-10-10T19:40:44.962Z
1785,Closed,2017-05-31T04:00:00.000Z,16982845,15748405,1397327,766741,12753904,830433,0,0,8d2a2bfff0916e2a4f245a7c5f65ec6f,2019-10-10T19:40:45.070Z
1869,Closed,2018-01-24T05:00:00.000Z,4816052,309213,0,43898,265313,2,0,0,de65baeccebf413c24151bef789822ba,2019-10-10T19:40:44.919Z
1504,Closed,2014-04-23T04:00:00.000Z,53527,57338,0,0,53527,0,1670,2141,178f129712a2efc67bff2b2c1f6f1a31,2019-10-10T19:40:44.915Z
1317,Closed,2008-04-24T04:00:00.000Z,658284,438084,0,0,413152,0,9570,15362,eb6d85e7890cc76d6abff61c4aa1648f,2019-10-10T19:40:44.995Z
1095,Closed,2002-08-15T04:00:00.000Z,15542791,12664211,739640,0,10837075,675236,98827,313433,96b92d5c0f93bbfa1c15360563b5b750,2019-10-10T19:40:45.038Z
929,Closed,2000-06-29T04:00:00.000Z,725943,704328,0,0,660004,0,14791,29533,902cbe47ad2e1c9689311467a457ac3d,2019-10-10T19:40:45.294Z
1862,Closed,2015-07-23T04:00:00.000Z,1568221,1071884,55304,70500,869394,76686,0,0,b3fce653f76fb1a8b0195eb87f89d072,2019-10-10T19:40:44.992Z
1866,Closed,2019-07-03T04:00:00.000Z,1416356,1485616,135550,47090,1233716,69260,0,0,f26e199fb9417265b50e6cdccdb7089d,2019-10-10T19:40:44.669Z
1661,Closed,2014-09-25T04:00:00.000Z,2718456,1713943,92418,179763,1229220,165000,14980,32562,f861e6693def4922aae1fc6c5f7fb2cf,2019-10-10T19:40:45.073Z
1870,Closed,2018-08-22T04:00:00.000Z,3097396,1672344,52797,0,1468084,151463,0,0,3bb445cf80875631fb1aedfe51393e25,2019-10-10T19:40:45.068Z
852,Closed,1998-05-09T04:00:00.000Z,1370360,1273006,0,0,1147302,50000,23495,52209,6941fb4de27956a913dce183192818c3,2019-10-10T19:40:44.965Z
988,Closed,1999-04-27T04:00:00.000Z,198465,212580,0,0,198465,0,5149,8966,80f52088b5d982b7e413437426c21817,2019-10-10T19:40:45.077Z
1144,Closed,1999-01-12T05:00:00.000Z,797752.65,761794,64775,0,582978,75000,15918,23123,3acf895d216609f5e6c1b33508f1072b,2019-10-10T19:40:44.993Z
933,Closed,2001-02-02T05:00:00.000Z,315162,338908,13419,0,289581,12162,7626,16120,e243268cbd87d8505c010485982a3220,2019-10-10T19:40:44.960Z
