Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4407,CA,Butte (County),BANGOR,95914,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),BERRY CREEK,95916,59,40,40,0,0,0,1,"$1,144.00 ", $-   ,"$1,144.00 ",$0 ,1,0,0,0
4407,CA,Butte (County),BUTTE VALLEY,95965,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),BUTTE VALLEY,96956,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),CHICO,95926,48,18,18,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),CHICO,95927,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),CHICO,95928,185,130,126,3,1,0,78,"$555,603.83 ", $-   ,"$221,570.24 ","$334,034 ",54,24,0,0
4407,CA,Butte (County),CHICO,95973,25,6,6,0,0,0,1,"$8,317.00 ", $-   ,"$8,317.00 ",$0 ,1,0,0,0
4407,CA,Butte (County),CONCOW,95954,1,1,1,0,0,0,1,"$1,788.00 ", $-   ,"$1,788.00 ",$0 ,1,0,0,0
4407,CA,Butte (County),CONCOW,95965,11,11,10,1,0,0,8,"$36,684.28 ", $-   ,"$12,382.00 ","$24,302 ",8,0,0,0
4407,CA,Butte (County),DURHAM,95938,4,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),FOREST RANCH,95942,16,7,7,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),GRIDLEY,95948,5,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),HAMILTON CITY,95951,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),LATHROP,95330,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),LODI,95242,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),MAGALIA,95954,1822,1575,1553,21,1,0,870,"$5,445,737.35 ", $-   ,"$2,175,828.12 ","$3,269,909 ",649,212,9,0
4407,CA,Butte (County),MAGALIA,95969,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),OREGON HOUSE,95962,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),ORLAND,95963,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),OROVILLE,95965,390,319,311,8,0,0,177,"$1,073,767.93 ", $-   ,"$416,730.95 ","$657,037 ",136,41,0,0
4407,CA,Butte (County),OROVILLE,95966,40,16,16,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),PALERMO,95968,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),PARADISE,95928,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),PARADISE,95965,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),PARADISE,95967,3,3,3,0,0,0,1,"$3,308.00 ", $-   ,"$3,308.00 ",$0 ,1,0,0,0
4407,CA,Butte (County),PARADISE,95969,6729,5756,5698,47,11,0,4422,"$31,168,895.56 ", $-   ,"$12,369,778.44 ","$18,799,117 ","3,286","1,091",45,0
4407,CA,Butte (County),PARADISE,97969,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),SAN LEANDRO,94577,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),STIRLING CITY,95978,39,30,30,0,0,0,4,"$4,234.51 ", $-   ,"$4,234.51 ",$0 ,4,0,0,0
4407,CA,Butte (County),THERMALITO,95965,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Butte (County),YANKEE HILL,95965,20,16,16,0,0,0,13,"$79,047.91 ", $-   ,"$30,916.00 ","$48,132 ",10,3,0,0
4407,CA,Butte (County),YUBA CITY,95993,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),AGOURA,91301,2,2,2,0,0,0,1,"$2,768.00 ", $-   ,"$2,768.00 ",$0 ,1,0,0,0
4407,CA,Los Angeles (County),AGOURA HILLS,91301,241,165,158,4,3,0,96,"$582,233.04 ", $-   ,"$357,793.76 ","$224,439 ",80,14,2,0
4407,CA,Los Angeles (County),ARCADIA,91006,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),BELL CANYON,91307,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
