Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4382,CA,Lake (County),BAKERSFIELD,93314,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),CLEARLAKE,95422,12, $-   ,4, $-   ,4,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),CLEAR LAKE OAKS,95423,1,"$7,786.10 ",1,"$7,786.10 ",0,1,0,0,0,1,"$7,786.10 ","$7,786 ",$0 ,$0 ,1,0,0,0
4382,CA,Lake (County),CLEARLAKE OAKS,95423,89,"$43,527.90 ",43,"$1,871,699.55 ",20,6,0,2,15,14,"$389,110.33 ","$312,417 ","$29,882 ","$46,812 ",4,1,9,0
4382,CA,Lake (County),GLENHAVEN,95443,3, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),HIDDEN VALLEY LAKE,95467,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),IRVINE,92602,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),KELSEYVILLE,95451,33, $-   ,10, $-   ,10,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),LAKEPORT,95453,108,"$25,706.79 ",22,"$565,549.31 ",17,1,0,1,3,5,"$103,874.85 ","$89,947 ","$4,230 ","$9,698 ",2,0,3,0
4382,CA,Lake (County),LOCH LOMOND,95461,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),LUCERNE,95458,55,"$50,584.59 ",22,"$1,112,861.01 ",15,0,1,1,5,4,"$150,662.07 ","$112,650 ","$9,630 ","$28,382 ",0,1,3,0
4382,CA,Lake (County),MIDDLETOWN,95461,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),NICE,95464,57,"$13,156.69 ",19,"$249,977.17 ",18,0,0,0,1,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),NICE,95482,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),NICE,95485,3,$458.65 ,3,"$1,375.94 ",2,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),PETALUMA,94952,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),POTTER VALLEY,95469,8, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),SACRAMENTO,95831,2, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),SANTA ROSA,95407,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),UPPER LAKE,95453,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),UPPER LAKE,95464,4, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),UPPER LAKE,95485,167,"$67,667.41 ",75,"$5,075,055.75 ",32,3,1,2,37,36,"$840,028.75 ","$639,292 ","$51,064 ","$149,673 ",13,4,19,0
4382,CA,Lake (County),UPPERLAKE,95485,2,"$127,411.16 ",2,"$254,822.31 ",1,0,0,0,1,1,"$2,660.00 ",$0 ,"$2,660 ",$0 ,1,0,0,0
4382,CA,Lake (County),WATERFORD,95386,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Lake (County),WITTER SPRINGS,95493,11,"$85,754.13 ",6,"$514,524.80 ",2,1,1,0,2,4,"$73,868.61 ","$70,213 ","$3,656 ",$0 ,2,0,2,0
4382,CA,Shasta (County),ANDERSON,96007,48, $-   ,19, $-   ,19,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),BELLA VISTA,96008,5, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),BURNEY,96013,10, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),CASTELLA,96017,1,"$40,576.21 ",1,"$40,576.21 ",0,0,0,0,1,1,"$26,397.62 ","$24,972 ","$1,426 ",$0 ,0,0,1,0
4382,CA,Shasta (County),COTTONWOOD,96022,29, $-   ,19, $-   ,19,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),DUNSMUIR,96025,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),FALL RIVER MILLS,96028,2, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),FRENCH GULCH,96033,120,"$53,071.97 ",60,"$3,184,318.01 ",31,7,0,5,17,28,"$671,164.49 ","$559,713 ","$43,576 ","$67,875 ",9,3,16,0
