Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4447,OH,Auglaize (County),CRIDERSVILLE,45806,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Auglaize (County),NEW KNOXVILLE,45871,1,"$2,376.23 ",1,"$2,376.23 ",0,1,0,0,0,1,$697.52 ,$698 ,$0 ,$0 ,1,0,0,0
4447,OH,Auglaize (County),SAINT MARYS,45885,3, $-   ,3, $-   ,3,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Auglaize (County),WAPAKONETA,45895,21,"$6,735.89 ",14,"$94,302.44 ",4,7,0,2,1,5,"$56,475.44 ","$41,315 ","$2,406 ","$12,754 ",3,1,1,0
4447,OH,Darke (County),ARCANUM,45304,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Darke (County),GREENVILLE,45331,3, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Darke (County),NEW MADISON,45346,12,$500.18 ,4,"$2,000.70 ",1,3,0,0,0,1,$588.80 ,$589 ,$0 ,$0 ,1,0,0,0
4447,OH,Greene (County),BEAVER CREEK,45431,2, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45431,265,"$1,594.41 ",41,"$65,370.64 ",9,31,0,1,0,4,"$10,202.18 ","$6,648 ","$3,304 ",$250 ,4,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45432,5,$70.94 ,2,$141.87 ,1,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45434,3, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVERCRK TWP,45385,1,"$2,620.35 ",1,"$2,620.35 ",0,1,0,0,0,1,"$3,238.06 ",$0 ,$0 ,"$3,238 ",1,0,0,0
4447,OH,Greene (County),DAYTON,45424,1,$573.57 ,1,$573.57 ,0,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),DAYTON,45431,63,"$14,663.06 ",14,"$205,282.86 ",4,9,0,0,1,6,"$40,146.61 ","$37,249 ","$2,492 ",$406 ,5,0,1,0
4447,OH,Greene (County),DAYTON,45434,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),FAIRBORN,45324,61,$206.19 ,14,"$2,886.70 ",6,8,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),JAMESTOWN,45335,5,"$16,418.06 ",3,"$49,254.17 ",1,1,0,0,1,1,"$36,098.00 ","$34,900 ","$1,198 ",$0 ,0,0,1,0
4447,OH,Greene (County),RIVERSIDE,45431,2,$119.20 ,2,$238.40 ,1,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Greene (County),XENIA,45385,39,"$1,645.04 ",13,"$21,385.57 ",1,12,0,0,0,2,$458.46 ,$255 ,$0 ,$203 ,2,0,0,0
4447,OH,Greene (County),YELLOW SPRINGS,45387,12,$69.30 ,5,$346.52 ,4,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),LANCASTER,43130,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),LAURELVILLE,43135,19,"$7,265.92 ",8,"$58,127.35 ",1,6,0,0,1,2,"$47,374.10 ","$39,571 ","$1,142 ","$6,662 ",1,0,1,0
4447,OH,Hocking (County),LOGAN,43138,4, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),ROCKBRIDGE,43149,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),SOUTH BLOOMINGVILLE,43152,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),SUGAR GROVE,43155,1,$5.44 ,1,$5.44 ,0,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Hocking (County),UNION FURNACE,43158,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4447,OH,Mahoning (County),AUSTINTOWN,44515,3,$706.23 ,3,"$2,118.70 ",1,2,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
