Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4454,TX,Cameron (County),BROWNSVILLE,78521,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Cameron (County),BROWNSVILLE,78526,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Cameron (County),CAMERON,76520,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Cameron (County),COMBES,78535,7,7,6,1,0,0,2," $4,197.14 ", $-   ," $1,436.00 ","$2,761",2,0,0,0
4454,TX,Cameron (County),HARLINGEN,78550,224,179,110,69,0,0,94," $227,526.33 ", $-   ," $102,614.12 ","$124,912",94,0,0,0
4454,TX,Cameron (County),HARLINGEN,78552,204,173,95,78,0,0,96," $290,237.67 ", $-   ," $134,241.00 ","$155,997",95,1,0,0
4454,TX,Cameron (County),LA FERIA,78559,63,47,29,18,0,0,25," $55,019.78 ", $-   ," $25,700.00 ","$29,320",25,0,0,0
4454,TX,Cameron (County),PALM VALLEY,78552,5,5,4,1,0,0,1," $1,126.00 ", $-   ," $1,126.00 ",$0 ,1,0,0,0
4454,TX,Cameron (County),PORT ISABEL,78578,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Cameron (County),RIO HONDO,78583,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Cameron (County),SAN BENITO,78586,10,8,6,2,0,0,2," $3,806.89 ", $-   ," $2,562.00 ","$1,245",2,0,0,0
4454,TX,Cameron (County),SANTA ROSA,78593,57,53,19,34,0,0,38," $130,476.76 ", $-   ," $55,980.33 ","$74,496",35,3,0,0
4454,TX,Hidalgo (County),ALAMO,78516,5,4,4,0,0,0,4," $23,944.37 ", $-   ," $1,926.00 ","$22,018",3,1,0,0
4454,TX,Hidalgo (County),DONNA,78537,21,20,17,3,0,0,8," $11,544.51 ", $-   ," $5,208.00 ","$6,337",8,0,0,0
4454,TX,Hidalgo (County),EDCOUCH,78538,35,25,19,6,0,0,10," $18,600.86 ", $-   ," $7,710.00 ","$10,891",10,0,0,0
4454,TX,Hidalgo (County),EDINBURG,78541,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),EDINBURG,78542,4,4,4,0,0,0,2," $1,114.08 ", $-   , $-   ,"$1,114",2,0,0,0
4454,TX,Hidalgo (County),ELSA,78543,10,7,5,2,0,0,6," $12,674.32 ", $-   ," $2,686.00 ","$9,988",6,0,0,0
4454,TX,Hidalgo (County),LA VILLA,78538,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),LA VILLA,78562,10,8,8,0,0,0,2," $9,429.44 ", $-   , $-   ,"$9,429",2,0,0,0
4454,TX,Hidalgo (County),MCALLEN,78501,4,4,3,1,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),MCALLEN,78504,3,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),MERCEDES,78570,79,70,43,27,0,0,54," $120,703.43 ", $-   ," $47,255.00 ","$73,448",54,0,0,0
