reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,empgTotalFunding
2014 BSIR (December 15),Alabama,Alabama Emergency Management Agency,"Develop/enhance plans, procedures, and protocols",2014-10-01T00:00:00+00:00,2016-10-01T00:00:00+00:00,5795991
2014 BSIR (December 15),Alaska,City of Dillingham,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,2672.65
2014 BSIR (December 15),Alaska,City of Ketchikan,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,25206.29
2014 BSIR (December 15),Alaska,City of Whittier,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,3359.39
2014 BSIR (December 15),Alaska,Division of Homeland Security and Emergency Management,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2013-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,2425109.67
2014 BSIR (December 15),Alaska,Matanuska-Susitna Borough,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,72000
2014 BSIR (December 15),American Samoa,American Samoa Department of Homeland Security,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2014-10-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,910896
2014 BSIR (December 15),Arkansas,Arkansas Department of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,2559192.66
2014 BSIR (December 15),Arkansas,Baxter County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,27713.87
2014 BSIR (December 15),Arkansas,Bradley County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19255.94
2014 BSIR (December 15),Arkansas,Carroll County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,23748.61
2014 BSIR (December 15),Arkansas,Clay County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20545.56
2014 BSIR (December 15),Arkansas,Cleveland County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18461.31
2014 BSIR (December 15),Arkansas,Craighead County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,43197.75
2014 BSIR (December 15),Alaska,City of Fairbanks,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,10000
2014 BSIR (December 15),Arkansas,Desha County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19678.77
2014 BSIR (December 15),Arkansas,Garland County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,43079.64
