Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants,address
4116,IL,Lake (County),ANTIOCH,60002,10,7,3,4,0,0,4,"$11,231",$0,"$9,318","$1,913",4,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),ARLINGTON HEIGHTS,60004,5,4,4,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),ARLINGTON HEIGHTS,60005,2,1,1,0,0,0,1,$260,$0,$0,$260,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),ELK GROVE VILLAGE,60007,3,3,2,1,0,0,2,"$3,619",$0,"$1,932","$1,687",2,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),ROLLING MEADOWS,60008,3,3,3,0,0,0,1,"$2,590",$0,"$1,932",$658,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Lake (County),BARRINGTON,60010,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),PORT BARRINGTON,60010,2,2,0,1,0,1,2,"$5,118",$0,"$3,562","$1,556",2,0,0,0,"4116, IL, McHenry (County)"
4116,IL,McHenry (County),CARY,60013,2,2,1,1,0,0,2,"$2,405",$0,"$1,630",$775,2,0,0,0,"4116, IL, McHenry (County)"
4116,IL,McHenry (County),CRYSTAL LAKE,60014,3,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),DEERFIELD,60015,3,2,0,2,0,0,2,"$4,092",$0,"$4,092",$0,2,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),DES PLAINES,60016,161,144,58,66,7,13,100,"$327,953",$0,"$196,869","$131,084",97,3,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),DES PLAINES APT GS,60016,1,1,0,0,0,1,1,"$9,006",$0,"$1,932","$7,074",1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),DES PLAINES,60018,19,15,9,6,0,0,8,"$24,754",$0,"$14,660","$10,094",8,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),ROSEMONT,60018,4,4,4,0,0,0,3,"$2,805",$0,$0,"$2,805",3,0,0,0,"4116, IL, Cook (County)"
4116,IL,Will (County),DES PLAINES,60018,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Will (County)"
4116,IL,Lake (County),FOX LAKE,60020,10,8,1,7,0,0,6,"$14,253",$0,"$9,753","$4,499",6,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),GLENCOE,60022,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),GLENVIEW,60025,12,11,7,1,1,2,3,"$2,531",$0,"$1,932",$599,3,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),GLENVIEW,60026,2,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Lake (County),GRAYSLAKE,60030,8,8,4,3,0,1,5,"$8,178",$0,"$6,554","$1,624",5,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),GURNEE,60031,23,22,17,5,0,0,6,"$32,951",$0,"$30,337","$2,614",5,1,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),HARVARD,60033,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),INGLESIDE,60041,5,5,1,3,0,1,4,"$9,426",$0,"$9,426",$0,4,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),ISLAND LAKE,60042,2,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),LAKE BLUFF,60044,2,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),LAKE VILLA,60046,4,4,1,3,0,0,3,"$8,497",$0,"$7,386","$1,111",3,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),LIBERTYVILLE,60048,2,2,0,2,0,0,2,"$8,205",$0,"$6,094","$2,111",2,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),MCHENRY,60050,1,1,0,0,0,1,1,"$2,462",$0,"$2,462",$0,1,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),LAKEMOOR,60051,2,1,0,1,0,0,1,"$2,462",$0,"$2,462",$0,1,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),HOLIDAY HILLS,60051,4,4,0,1,0,3,3,"$15,379",$0,"$6,024","$9,355",3,0,0,0,"4116, IL, McHenry (County)"
4116,IL,McHenry (County),MCHENRY,60051,4,4,1,3,0,0,3,"$9,606",$0,"$8,392","$1,214",3,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Cook (County),MORTON GROVE,60053,5,5,3,1,0,1,1,"$2,462",$0,"$2,462",$0,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),MOUNT PROSPECT,60056,9,7,4,3,0,0,2,"$4,674",$0,"$1,932","$2,742",2,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),MT PROSPECT,60056,2,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
