disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
1258,,,,,,,,,,14b596ca87c2ab937c7efa471e7cd646,2019-12-09T15:26:08.632Z
1268,,,,,721979.29,43929.52,655398.71,2020-01-04T00:00:00.000Z,,0b932287549e6c31f59619262adb4c92,2020-01-04T03:23:28.732Z
1241,,,,,,,,,,e35a342f8d3b91c3b6ac1f116fdc6dcc,2019-10-10T20:03:57.415Z
1265,,,,,6970269.48,2590192.47,4349918.09,2020-01-04T00:00:00.000Z,,481b6d889d9f83336fe30de4720585ac,2020-01-04T03:23:28.732Z
1247,,,,,,,,,,ed788f6e7982fda112ef94d3ca140591,2019-12-09T15:26:08.483Z
1272,,,,,40588743.22,29892462.64,10342694.45,2020-01-04T00:00:00.000Z,,a41b179793497e18d53c966fab08db23,2020-01-04T03:23:28.733Z
1243,,,,,,,,,,1d59adf08ab2ba2a8f2a417c49600360,2019-12-09T15:26:08.483Z
1239,,,,,8225378.98,4219882.47,3961713.95,2020-01-04T00:00:00.000Z,,0c2d31445803f407ad779215e656f766,2020-01-04T03:23:28.721Z
1278,,,,,501235.42,20563.57,469397.28,2020-01-04T00:00:00.000Z,,2e1d7163957f493fe038a5ea39769bfc,2020-01-04T03:23:28.734Z
1250,,,,,,,,,,2ad600d561707691a6dd66d331ad43dd,2019-12-09T15:26:08.629Z
1275,,,,,5322523.58,2426827.39,2821849.55,2020-01-04T00:00:00.000Z,,3fa017615e03d643525370e1da92aac3,2020-01-04T03:23:28.736Z
1257,,,,,33279674.22,9756691.41,23183628.92,2020-01-04T00:00:00.000Z,,5de365ff9351b135f66ee9d3892004f7,2020-01-04T03:23:28.730Z
1285,,,,,518798.92,331705.11,182722.6,2020-01-04T00:00:00.000Z,,a873fc17b6d55f7f14cbc3d9fc58d646,2020-01-04T03:23:28.914Z
1310,,,,,4680340.29,1386231.25,3245139.39,2020-01-04T00:00:00.000Z,,91c01579b8579c583c67222a75195932,2020-01-04T03:23:28.933Z
1335,,,,,31020492.12,4053927.92,26379603.98,2020-01-04T00:00:00.000Z,,9d80839663dafd6457654a1b4cdd5776,2020-01-04T03:23:28.957Z
1282,,,,,10955690.74,1814403.47,8883933.06,2020-01-04T00:00:00.000Z,,1addc79bdcdaf6718ed6890f6552493c,2020-01-04T03:23:28.739Z
1256,,,,,,,,,,ddd00deced0a0007c6bc574a5f259ac2,2019-10-10T20:03:57.356Z
1263,,,,,,,,,,9c959f67424e682c2c71c64e75b3c7b1,2019-12-09T15:26:08.637Z
1273,,,,,3144097.57,2597610.34,546487.23,2020-01-04T00:00:00.000Z,,4a129d5a41a81178c88290df79b31a8c,2020-01-04T03:23:28.735Z
1245,,,,,,,,,,b0a2f4c01228d55f3932eaf0beae3bf1,2019-12-09T15:26:08.482Z
1270,,,,,,,,,,26c27a34168890bfac8d8da1f987cec4,2019-10-10T20:03:57.413Z
1252,,,,,,,,,,9ffcff56a557d5462cafe6aad7ed7a50,2019-12-09T15:26:08.627Z
1277,,,,,8534710.43,1862546.18,6422742.96,2020-01-04T00:00:00.000Z,,9f9be774a4474151b45ab08627058f82,2020-01-04T03:23:28.955Z
1305,,,,,594693.82,73108.21,521585.61,2020-01-04T00:00:00.000Z,,f73694b139f78623e0b291fec1956666,2020-01-04T03:23:28.936Z
1248,,,,,,,,,,58cfd336cbe58ed47663f39fec6b8524,2019-12-09T15:26:08.483Z
1244,,,,,,,,,,341a5cf7fd09054d3c2fc2598c02a1e1,2019-12-09T15:26:08.482Z
1283,,,,,11679939.6,3332720.86,8260184.09,2020-01-04T00:00:00.000Z,,f564e682ae0c3f0f8fcaef5ee53c1328,2020-01-04T03:23:28.740Z
1255,,,,,,,,,,5b3a71cbdc5cf2499c74ee4520ee2006,2019-12-09T15:26:08.631Z
1280,,,,,801099.77,621063.41,162372.31,2020-01-04T00:00:00.000Z,,d9b37621a9e455511e0235fed189f3a5,2020-01-04T03:23:28.734Z
1262,,,,,15377362.84,4437805.23,10793815.08,2020-01-04T00:00:00.000Z,,9a846319b8be0c530306bfb81f767179,2020-01-04T03:23:28.731Z
1290,,,,,,,,,,fb67f3d8924c46ac1d2a133cf237a4d7,2019-10-10T20:03:57.344Z
1315,,,,,2043473.79,1256195.35,847752.31,2020-01-04T00:00:00.000Z,,8b1c9a1bb3aa024f644cace5599ac22f,2020-01-04T03:23:28.940Z
