datasetId,openFemaDataSet,name,title,description,type,sortOrder,datasetVersion,hash,lastRefresh
openfema-10,DisasterDeclarationsSummaries,disasterNumber,Disaster Number,"Sequentially assigned number used to designate an event or incident declared as a disaster.  For more information on the disaster process, visit https://www.fema.gov",number,1,1,4b1d9020df2f02b14ac2f1777521cb6e,2019-11-22T00:11:53.098Z
openfema-10,DisasterDeclarationsSummaries,declarationDate,Declaration Date,Date the disaster was declared,	date,7,1,c08de38d509474279d01e851539e2670,2019-11-22T00:11:53.098Z
openfema-10,DisasterDeclarationsSummaries,ihProgramDeclared,IH Program Declared,"Denotes whether the Individuals and Households program was declared for this disaster. For more information on the program, please visit https://www.fema.gov",boolean,2,1,d5bf3e88d63f8dcb5cf4937c18e31379,2019-11-22T00:11:53.096Z
openfema-10,DisasterDeclarationsSummaries,hmProgramDeclared,HM Program Declared,"Denotes whether the Hazard Mitigation program was declared for this disaster. For more information on the program, please visit: https://www.fema.gov",boolean,5,1,d8414751b10d35342d6ca35e7da014d1,2019-11-22T00:11:53.098Z
openfema-10,DisasterDeclarationsSummaries,state,State,"The name or phrase describing the U.S. state, district, or territory",string,6,1,040b0f20e4f2d01b8d65c54d547969df,2019-11-22T00:11:53.097Z
openfema-10,DisasterDeclarationsSummaries,paProgramDeclared,PA Program Declared,"Denotes whether the Public Assistance program was declared for this disaster. For more information on the program, please visit https://www.fema.gov",boolean,4,1,d0b6511d442a4d39bf934032b2740945,2019-11-22T00:11:53.098Z
openfema-10,DisasterDeclarationsSummaries,iaProgramDeclared,IA Program Declared,"Denotes whether the Individual Assistance program was declared for this disaster. For more information on the program, please visit https://www.fema.gov",boolean,3,1,9c5a961696d268439e52a666d383f090,2019-11-22T00:11:53.099Z
openfema-10,DisasterDeclarationsSummaries,disasterType,Disaster Type,"Two character code that defines if this is a major disaster, fire management, or emergency declaration. For more information on the disaster process, please visit https://www.fema.gov",string,9,1,c124bf471928e7f57d20279b47bb1bb0,2019-11-22T00:11:53.138Z
openfema-10,DisasterDeclarationsSummaries,placeCode,Place Code,A unique code system FEMA uses internally to recognize locations that takes the numbers '99' + the 3-digit county FIPS code. There are some declared locations that don't have recognized FIPS county codes in which case we assigned a unique identifier,string,16,1,0fb470b45cd11bad5367fb489b176681,2019-11-22T00:11:53.140Z
openfema-10,DisasterDeclarationsSummaries,disasterCloseoutDate,Disaster Closeout Date,Date all financial transactions for all programs are completed,date,14,1,fc22c5abe0f16a8692ffd898ab51a719,2019-11-22T00:11:53.140Z
openfema-10,DisasterDeclarationsSummaries,incidentEndDate,Incident End Date,	Date the incident itself ended,date,13,1,c17ccc4d1912b50917934b24be67b250,2019-11-22T00:11:53.141Z
openfema-10,DisasterDeclarationsSummaries,fyDeclared,FY Declared ,Fiscal year in which the disaster was declared,number,8,1,97ab8ddc4c937fabf09fa5a10c9124c9,2019-11-22T00:11:53.099Z
openfema-10,DisasterDeclarationsSummaries,incidentType,Incident Type,"Type of incident such as fire or flood. The incident type will affect the types of assistance available. For more information on incident types, please visit https://www.fema.gov",string,10,1,dd4e1e4f90a7ed705e7607864ec9cecc,2019-11-22T00:11:53.141Z
openfema-10,DisasterDeclarationsSummaries,incidentBeginDate,Incident Begin Date,Date the incident itself began,date,12,1,50653df3ff1eb21a15e25e0c1f57b184,2019-11-22T00:11:53.141Z
