identifier,name,title,description,distribution,webService,dataDictionary,keyword,modified,publisher,contactPoint,mbox,accessLevel,landingPage,temporal,api,version,bureauCode,programCode,accessLevelComment,accessUrl,format,license,spatial,theme,dataQuality,accrualPeriodicity,language,primaryITInvestmentUII,references,issued,systemOfRecords,deprecated,deprecatedComment,updateFrequency,hash,lastRefresh
openfema-1,PublicAssistanceFundedProjectsSummaries,Public Assistance (PA) Funded Project Summaries,"FEMA provides supplemental Federal disaster grant assistance for debris removal, emergency protective measures, and the repair, replacement, or restoration of disaster-damaged, publicly owned facilities and the facilities of certain Private Non-Profit (PNP) organizations through the Public Assistance (PA) Program (CDFA Number 97.036). The PA Program also encourages protection of these damaged facilities from future events by providing assistance for hazard mitigation measures during the recovery process.

This dataset lists all public assistance recipients (sub-grantees) and a summary of the funded program support. This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems.

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.csv;csv,https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.json;json,https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.jsona;jsona",https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries,https://www.fema.gov/openfema-dataset-public-assistance-funded-projects-summaries-v1,"public, assistance, disaster, grant, funding, sub-grantees",2019-05-30T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/public-assistance-local-state-tribal-and-non-profit,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-26,FemaWebDeclarationAreas,OpenFEMA Dataset: FEMA Web Declaration Areas - V1,"This data set contains general information on declared disasters, including the disaster number, declaration type, state, description, incident start and end dates, and incident type.

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/FemaWebDeclarationAreas.csv;csv,https://www.fema.gov/api/open/v1/FemaWebDeclarationAreas.json;json,https://www.fema.gov/api/open/v1/FemaWebDeclarationAreas.jsona;jsona",https://www.fema.gov/api/open/v1/FemaWebDeclarationAreas,https://www.fema.gov/openfema-dataset-fema-web-declaration-areas-v1,"disaster, declaration, fema website",2019-09-26T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-28,HazardMitigationAssistanceMitigatedProperties,Hazard Mitigation Assistance Mitigated Properties,"This dataset contains the properties that were mitigated by projects funded under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects to reduce disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012 (BW-12): Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/hazard-mitigation-assistance.

The dataset contains properties by project identifier, city, zip code, state and region and does not contain any Personally Identifiable Information (PII). The mitigated property dataset can be joined to the OpenFEMA Hazard Mitigation Assistance Funded Project dataset by the Project Identifier field. Note, not all projects in the Hazard Mitigation Assistance Funded Project dataset will have mitigated properties (e.g., Planning and Management Cost projects). In some cases data was not provided by the subgrantee (sub-recipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

This is raw, unedited data from FEMA's mitigation grant systems (NEMIS-MT and e-Grants) and as such is subject to a small percentage of human error. The financial information is derived from FEMA's mitigation grant systems and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as www.usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.","https://www.fema.gov/api/open/v1/HazardMitigationAssistanceMitigatedProperties.csv;csv,https://www.fema.gov/api/open/v1/HazardMitigationAssistanceMitigatedProperties.json;json,https://www.fema.gov/api/open/v1/HazardMitigationAssistanceMitigatedProperties.jsona;jsona",https://www.fema.gov/api/open/v1/HazardMitigationAssistanceMitigatedProperties,https://www.fema.gov/openfema-dataset-hazard-mitigation-assistance-mitigated-properties-v1,"hazard, mitigation, disaster, property, project, assistance, hmgp, grant, fma, flood pdm pre-disaster",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/hazard-mitigation-assistance,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-36,FemaRegions,FEMA Regions,"Provides the list of FEMA Regions.  The dataset includes the address for each regions headquarters as well a point in GeoJSON format for the headquarter and a geometry shape for the region in GeoJSON format.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/FemaRegions.csv;csv,https://www.fema.gov/api/open/v1/FemaRegions.json;json,https://www.fema.gov/api/open/v1/FemaRegions.jsona;jsona",https://www.fema.gov/api/open/v1/FemaRegions,https://www.fema.gov/openfema-dataset-FEMA-Regions-v1,,,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-33,MissionAssignments,Mission Assignments,"1.1 What is the data in the submission?

Mission Assignment, as defined in the 44 Code of Federal Regulations, is a work order issued by FEMA to another Federal agency directing completion of a specified task and citing funding, other managerial controls, and guidance. 

Mission Assignments are essential and powerful tools for federal emergency management under the Stafford Act.  Mission Assignments are distinct because they allow for deployment, employment and assistance from the full range of federal resources to support disaster needs.

1.2 Why does FEMA Issue Mission Assignments?

FEMA issues mission assignments in anticipation of, or in response to, a Presidential declaration of an emergency or major disaster.  The Robert T. Stafford Disaster Relief and Emergency Assistance Act (Stafford Act) authorizes Mission Assignments.

When States, Tribes, or Territories are overwhelmed by disaster impacts, FEMA can fulfill requests for Federal assistance through a Mission Assignment.  Mission Assignments are provided as a sourcing mechanism to direct and reimburse Other Federal Agencies for utilizing their capabilities to support disaster operations.  Reimbursement of eligible expenditures are detailed in 44 Code of Federal Regulations 206.8 (c).

1.3 How are Mission Assignments Created?

Mission Assignments are administered, created and obligated, using DRF appropriations, as electronic forms within FEMA's financial systems.  Each mission assignment includes essential information required to direct other Federal Agencies to support and fulfill disaster needs, such as  cost estimates, location of need, requestor, statement of work and period of performance.  Mission Assignments can be amended to reflect the tempo of disaster activities, by changing period of performance dates, increasing and decreasing the costs required to complete the work, or recouping dollars based on early work completion or cancellation.  This process of financially managing DRF dollars is an ongoing process that takes place before, during and after disaster activities have ended.  Initial mission assignment obligation amounts do not reflect true costs incurred after billing and reimbursement.

This data set contains information required as part of Congressional bill - the Sandy Recovery Improvement Act of 2013, and The Disaster Recovery Reform Act of 2019.   FEMA is providing the following information for stakeholders:
'State or Tribal Government
'Disaster Number
'Description of Disaster 
'Agency
'Request for Assistance
'Obligations/Estimate
'Date Obligated
'Percentage of Cost for which the State or Tribal Government is responsible (the cost share)

For more information on Mission Assignments, the Sandy Recovery Improvement Act of 2013, and the Disaster Recovery Reform Act of 2019 visit https://www.fema.gov


1.4 How is the data generated?

The data is derived from the National Emergency Management Information System (NEMIS). The system has been used since 1998 to process all mission assignments for FEMA's Mission Assignment (MA) program as the system of record. The dataset was extracted using FEMA's Enterprise Data Warehouse to ensure reliable, uniform data.


1.5 How can the data be used?

The data provides information regarding mission assignments issued to other federal agencies in response to Stafford Act incidents.  

Note: The disaster costs reflected are not actual they include inflated estimations to ensure resources are available to address actual and potential life-saving, life-sustaining, and or mission-critical needs. This dataset is not intended to be used for any official federal financial report and should not be considered an official federal report. 

Citation: The agency's preferred citation for each dataset is included in its metadata. Users should also cite the date that data was accessed or retrieved from fema.gov and/or Data.gov. Finally, users must clearly state that 'FEMA and the Federal Government cannot vouch for the data or analyses derived from these data after the data have been retrieved from the Agency's website(s) and/or Data.gov.'


If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's Mission Assignments program data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-MissionAssignments@fema.dhs.gov.","https://www.fema.gov/api/open/v1/MissionAssignments.csv;csv,https://www.fema.gov/api/open/v1/MissionAssignments.json;json,https://www.fema.gov/api/open/v1/MissionAssignments.jsona;jsona",https://www.fema.gov/api/open/v1/MissionAssignments,https://www.fema.gov/openfema-dataset-mission-assignments-v1,"Mission Assignments, Financial Obligations, Disaster Response",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/office-response-and-recovery,5/10/2000,0,1,024:70,024:039,,,,,,,0,,,,,,,1,Outdated material and since we migrated to an API will redirect people to the new web page,,,
openfema-22,EmergencyManagementPerformanceGrants,Emergency Management Performance Grants - V1,"This dataset contains EMPG recipients as reported by their State and a summary of the funded program support as reported by the Recipient in the Grants Reporting Tool (GRT).

The EMPG Program provides resources to assist state, local, tribal and territorial governments in preparing for all hazards, as authorized by Section 662 of the Post Katrina Emergency Management Reform Act (6 U.S.C ' 762) and the Robert T. Stafford Disaster Relief and Emergency Assistance Act, as amended (42 U.S.C. '' 5121 et seq.). Title VI of the Stafford Act authorizes FEMA to make grants for the purpose of providing a system of emergency preparedness for the protection of life and property in the United States from hazards and to vest responsibility for emergency preparedness jointly in the federal government and the states and their political subdivisions. The FY 2016 EMPG will provide federal funds to assist state, local, tribal and territorial emergency management agencies to obtain the resources required to support the National Preparedness Goal's (NPG's) (the Goal's) associated mission areas and core capabilities. The federal government, through the EMPG Program, provides necessary direction, coordination, and guidance, and provides necessary assistance, as authorized in this title to support a comprehensive all hazards emergency preparedness system. 

The Emergency Management Performance Grant Program is to support a comprehensive, all-hazard emergency preparedness system by building and sustaining the core capabilities contained in the National Preparedness Goal. 
Examples include: 

-Completing the Threat and Hazard Identification and Risk Assessment (THIRA) process; 
-Strengthening a state or community's emergency management governance structures; 
-Updating and approving specific emergency plans; 
-Designing and conducting exercises that enable whole community stakeholders to examine and validate core capabilities and the plans needed to deliver them to the targets identified through the THIRA; 
-Targeting training and verifying identified capabilities; 
-Initiating or achieving a whole community approach to security and emergency management. 


For additional details on the EMPG program visit: https://www.cfda.gov/index?s=program&mode=form&tab=step1&id=8f4094bdf4c3...


This dataset is not intended to be an official federal report, and should not it be considered an official federal report. 


Citation: The agency's preferred citation for each dataset is included in its metadata. Users should also cite the date that data was accessed or retrieved from fema.gov and/or Data.gov. Finally, users must clearly state that 'FEMA and the Federal Government cannot vouch for the data or analyses derived from these data after the data have been retrieved from the Agency's website(s) and/or Data.gov.'

This dataset was first made public on 10/31/2016 and will be updated twice a year. 
Date Report Run: 10/24/2016

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/EmergencyManagementPerformanceGrants.csv;csv,https://www.fema.gov/api/open/v1/EmergencyManagementPerformanceGrants.json;json,https://www.fema.gov/api/open/v1/EmergencyManagementPerformanceGrants.jsona;jsona",https://www.fema.gov/api/open/v1/EmergencyManagementPerformanceGrants,https://www.fema.gov/openfema-dataset-emergency-management-performance-grants-v1,"grants, emergency management, empg",2019-09-26T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://beta.sam.gov/fal/cd60f4b3664041838fd94e1482b5de24/view?keywords=emergency%20management%20performance%20grants&sort=-relevance&index=&is_active=true&page=1,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-45,HazardMitigationAssistanceProjects,Hazard Mitigation Assistance Projects,"The dataset contains funded projects (financial obligation to grantee) under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects that reduces disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012: Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/hazard-mitigation-assistance.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.' For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.","https://www.fema.gov/api/open/v2/HazardMitigationAssistanceProjects.csv;csv,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceProjects.json;json,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceProjects.jsona;jsona",https://www.fema.gov/api/open/v2/HazardMitigationAssistanceProjects,https://www.fema.gov/openfema-dataset-hazard-mitigation-assistance-projects-v2,"mitigation, hazard, disaster, non-disaster, grant, subapplication, project, property, assistance, HMA, HMGP, PDM, LPDM, FMA, SRL, RFC",2019-06-05T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/hazard-mitigation-assistance,,0,2,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-12, ,FEMA Housing Assistance Program for House Owners,"This dataset lists aggregated, non-PII dataset of FEMA Housing Assistance Program for House Owners

The data was generated by FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team.

The dataset is primarily composed of data from Housing Assistance Program reporting authority from FEMA registration renters and owners within the state, county, zip where the registration is valid.

This dataset contains aggregated, non-PII data by generated FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team to share data on the impact of the tornadoes precipitating DR 4117 at various geographic levels in Oklahoma, segmented by level of damage. Additional core data elements include: number of applicants, county, zip code, inspections, severity of damage, assistance provided, and owner or renter. This dataset is not intended to be an official federal report.

Citation: The agency's preferred citation for each dataset is included in its metadata. Users should also cite the date that data was accessed or retrieved from fema.gov and/or Data.gov. Finally, users must clearly state that 'FEMA and the Federal Government cannot vouch for the data or analyses derived from these data after the data have been retrieved from the Agency's website(s) and/or Data.gov.'

This dataset was generated on 6/26/2013.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/HousingAssistanceOwners.csv;csv,https://www.fema.gov/api/open/v1/HousingAssistanceOwners.json;json,https://www.fema.gov/api/open/v1/HousingAssistanceOwners.jsona;jsona",https://www.fema.gov/api/open/v1/HousingAssistanceOwners,https://www.fema.gov/openfema-dataset-housing-assistance-data-owners-v1,"housing assistance, owners, disaster",2019-06-04T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/individual-disaster-assistance ,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,Only adding language for to the FEMA library to point to the API,,,
openfema-8,OpenFemaDataSetFields,Metadata on OpenFEMA data sets - data fields.,"The field descriptions for datasets available via FEMA's API

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.","https://www.fema.gov/api/open/v1/OpenFemaDataSetFields.csv;csv,https://www.fema.gov/api/open/v1/OpenFemaDataSetFields.json;json,https://www.fema.gov/api/open/v1/OpenFemaDataSetFields.jsona;jsona",https://www.fema.gov/api/open/v1/OpenFemaDataSetFields,https://www.fema.gov/openfema-dataset-openfema-data-set-fields-v1,"open, data, fema, datasets, metadata, api",2019-06-04T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/openfema,,0,1,024:70,024:039,,,,,,,0,,,,,,,0,,,,
openfema-37,HazardMitigationAssistanceMitigatedProperties,Hazard Mitigation Assistance Mitigated Properties,"This dataset contains the properties that were mitigated by projects funded under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects to reduce disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012 (BW-12): Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/hazard-mitigation-assistance.

The dataset contains properties by project identifier, latitude (precision 3), longitude (precision 3), city, zip code, state and region and does not contain any Personally Identifiable Information (PII). The mitigated property dataset can be joined to the OpenFEMA Hazard Mitigation Assistance Funded Project dataset by the Project Identifier field. Note, not all projects in the Hazard Mitigation Assistance Funded Project dataset will have mitigated properties (e.g., Planning and Management Cost projects). In some cases data was not provided by the subgrantee (sub-recipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record. 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov. For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.","https://www.fema.gov/api/open/v2/HazardMitigationAssistanceMitigatedProperties.csv;csv,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceMitigatedProperties.json;json,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceMitigatedProperties.jsona;jsona",https://www.fema.gov/api/open/v2/HazardMitigationAssistanceMitigatedProperties,https://www.fema.gov/openfema-dataset-hazard-mitigation-assistance-mitigated-properties-v2,"mitigation, hazard, disaster, non-disaster, grant, subapplication, project, property, assistance, HMA, HMGP, PDM, LPDM, FMA, SRL, RFC",2019-06-05T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/hazard-mitigation-assistance,,0,2,024:70,024:039,,,,,,,0,,,,,,,0,,,,
