IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max
32272.0,8.0,6.0,2.0,0.0,0.0,0,0,0,0
622024.0,260.0,251.0,9.0,0.0,0.0,29177.0,19.0,0.0,0.0
31821.0,14.0,14.0,0.0,0.0,0.0,7079.0,4.0,0.0,0.0
44331.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
90293298.0,36895.0,35846.0,966.0,83.0,29.0,37099655.0,12965.0,35.0,1.0
239669.0,31.0,22.0,7.0,2.0,0.0,2079.0,1.0,0.0,0.0
140350.0,64.0,62.0,2.0,0.0,0.0,23508.0,15.0,0.0,0.0
113909.0,22.0,20.0,2.0,0.0,0.0,4457.0,2.0,0.0,0.0
13090487.0,3265.0,2972.0,261.0,32.0,10.0,1715682.0,677.0,2.0,0.0
865677.0,202.0,180.0,18.0,4.0,0.0,21577.0,13.0,0.0,0.0
1395364.0,152.0,108.0,21.0,23.0,8.0,87771.0,22.0,0.0,0.0
40064.0,22.0,22.0,0.0,0.0,0.0,1777.0,1.0,0.0,0.0
235229.0,94.0,93.0,1.0,0.0,0.0,11492.0,6.0,0.0,0.0
1490332.0,540.0,522.0,16.0,2.0,1.0,242809.0,93.0,0.0,0.0
962373.0,319.0,304.0,11.0,4.0,1.0,69880.0,20.0,0.0,0.0
804988.0,359.0,355.0,4.0,0.0,0.0,33242.0,25.0,0.0,0.0
4628301.0,551.0,399.0,80.0,72.0,49.0,334910.0,80.0,0.0,0.0
1433995.0,595.0,584.0,11.0,0.0,0.0,1271100.0,538.0,0.0,0.0
132196.0,48.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156797.0,44.0,41.0,3.0,0.0,0.0,3399.0,3.0,0.0,0.0
255768.0,38.0,28.0,8.0,2.0,0.0,1560.0,1.0,0.0,0.0
1035300.0,389.0,378.0,10.0,1.0,0.0,49524.0,21.0,0.0,0.0
