IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
32272,8.0,6.0,2.0,0.0,0.0,0,0,0,0,Flood,2013.0
622024,260.0,251.0,9.0,0.0,0.0,29177,19.0,0.0,0.0,Flood,2013.0
31821,14.0,14.0,0.0,0.0,0.0,7079,4.0,0.0,0.0,Flood,2013.0
44331,11.0,9.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2013.0
90293298,36895.0,35846.0,966.0,83.0,29.0,37099655,12965.0,35.0,1.0,Flood,2013.0
239669,31.0,22.0,7.0,2.0,0.0,2079,1.0,0.0,0.0,Flood,2013.0
140350,64.0,62.0,2.0,0.0,0.0,23508,15.0,0.0,0.0,Flood,2013.0
113909,22.0,20.0,2.0,0.0,0.0,4457,2.0,0.0,0.0,Flood,2013.0
13090487,3265.0,2972.0,261.0,32.0,10.0,1715682,677.0,2.0,0.0,Flood,2013.0
865677,202.0,180.0,18.0,4.0,0.0,21577,13.0,0.0,0.0,Flood,2013.0
1395364,152.0,108.0,21.0,23.0,8.0,87771,22.0,0.0,0.0,Flood,2013.0
40064,22.0,22.0,0.0,0.0,0.0,1777,1.0,0.0,0.0,Flood,2013.0
235229,94.0,93.0,1.0,0.0,0.0,11492,6.0,0.0,0.0,Flood,2013.0
1490332,540.0,522.0,16.0,2.0,1.0,242809,93.0,0.0,0.0,Flood,2013.0
962373,319.0,304.0,11.0,4.0,1.0,69880,20.0,0.0,0.0,Flood,2013.0
804988,359.0,355.0,4.0,0.0,0.0,33242,25.0,0.0,0.0,Flood,2013.0
4628301,551.0,399.0,80.0,72.0,49.0,334910,80.0,0.0,0.0,Flood,2013.0
1433995,595.0,584.0,11.0,0.0,0.0,1271100,538.0,0.0,0.0,Flood,2013.0
132196,48.0,46.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2013.0
156797,44.0,41.0,3.0,0.0,0.0,3399,3.0,0.0,0.0,Flood,2013.0
255768,38.0,28.0,8.0,2.0,0.0,1560,1.0,0.0,0.0,Flood,2013.0
